Isolate_Id,PB2 Segment_Id,PB1 Segment_Id,PA Segment_Id,HA Segment_Id,NP Segment_Id,NA Segment_Id,MP Segment_Id,NS Segment_Id,HE Segment_Id,P3 Segment_Id,Isolate_Name,Subtype
EPI_ISL_14925576,EPI2168746|150524133685_PB2_2018,EPI2168747|150524133685_PB1_2018,EPI2168745|150524133685_PA_2018,EPI2168749|150524133685_HA_2018,EPI2168742|150524133685_NP_2018,EPI2168748|150524133685_NA_2018,EPI2168744|150524133685_MP_2018,EPI2168743|150524133685_NS_2018,,,A/Michigan/UOM150524133685/2018,A / H3N2
EPI_ISL_14925577,EPI2168754|150524133684_PB2_2018,EPI2168755|150524133684_PB1_2018,EPI2168753|150524133684_PA_2018,EPI2168757|150524133684_HA_2018,EPI2168750|150524133684_NP_2018,EPI2168756|150524133684_NA_2018,EPI2168752|150524133684_MP_2018,EPI2168751|150524133684_NS_2018,,,A/Michigan/UOM150524133684/2018,A / H3N2
EPI_ISL_14925578,EPI2168762|150524133686_PB2_2018,EPI2168763|150524133686_PB1_2018,EPI2168761|150524133686_PA_2018,EPI2168765|150524133686_HA_2018,EPI2168758|150524133686_NP_2018,EPI2168764|150524133686_NA_2018,EPI2168760|150524133686_MP_2018,EPI2168759|150524133686_NS_2018,,,A/Michigan/UOM150524133686/2018,A / H3N2
EPI_ISL_14925579,EPI2168770|150524133687_PB2_2018,EPI2168771|150524133687_PB1_2018,EPI2168769|150524133687_PA_2018,EPI2168773|150524133687_HA_2018,EPI2168766|150524133687_NP_2018,EPI2168772|150524133687_NA_2018,EPI2168768|150524133687_MP_2018,EPI2168767|150524133687_NS_2018,,,A/Michigan/UOM150524133687/2018,A / H3N2
EPI_ISL_14925580,EPI2168778|150524133688_PB2_2018,EPI2168779|150524133688_PB1_2018,EPI2168777|150524133688_PA_2018,EPI2168781|150524133688_HA_2018,EPI2168774|150524133688_NP_2018,EPI2168780|150524133688_NA_2018,EPI2168776|150524133688_MP_2018,EPI2168775|150524133688_NS_2018,,,A/Michigan/UOM150524133688/2018,A / H3N2
EPI_ISL_14925581,EPI2168786|150524133836_PB2_2018,EPI2168787|150524133836_PB1_2018,EPI2168785|150524133836_PA_2018,EPI2168789|150524133836_HA_2018,EPI2168782|150524133836_NP_2018,EPI2168788|150524133836_NA_2018,EPI2168784|150524133836_MP_2018,EPI2168783|150524133836_NS_2018,,,A/Michigan/UOM150524133836/2018,A / H3N2
EPI_ISL_14925582,EPI2168794|150524133690_PB2_2018,EPI2168795|150524133690_PB1_2018,EPI2168793|150524133690_PA_2018,EPI2168797|150524133690_HA_2018,EPI2168790|150524133690_NP_2018,EPI2168796|150524133690_NA_2018,EPI2168792|150524133690_MP_2018,EPI2168791|150524133690_NS_2018,,,A/Michigan/UOM150524133690/2018,A / H3N2
EPI_ISL_14925584,EPI2168802|150524133691_PB2_2018,EPI2168803|150524133691_PB1_2018,EPI2168801|150524133691_PA_2018,EPI2168805|150524133691_HA_2018,EPI2168798|150524133691_NP_2018,EPI2168804|150524133691_NA_2018,EPI2168800|150524133691_MP_2018,EPI2168799|150524133691_NS_2018,,,A/Michigan/UOM150524133691/2018,A / H3N2
EPI_ISL_14925585,EPI2168810|150524133695_PB2_2018,EPI2168811|150524133695_PB1_2018,EPI2168809|150524133695_PA_2018,EPI2168814|150524133695_HA_2018,EPI2168806|150524133695_NP_2018,EPI2168812|150524133695_NA_2018,EPI2168808|150524133695_MP_2018,EPI2168807|150524133695_NS_2018,,,A/Michigan/UOM150524133695/2018,A / H3N2
EPI_ISL_14925586,EPI2168819|150524133694_PB2_2018,EPI2168820|150524133694_PB1_2018,EPI2168818|150524133694_PA_2018,EPI2168822|150524133694_HA_2018,EPI2168815|150524133694_NP_2018,EPI2168821|150524133694_NA_2018,EPI2168817|150524133694_MP_2018,EPI2168816|150524133694_NS_2018,,,A/Michigan/UOM150524133694/2018,A / H3N2
EPI_ISL_14925587,EPI2168827|150524133696_PB2_2018,EPI2168828|150524133696_PB1_2018,EPI2168826|150524133696_PA_2018,EPI2168831|150524133696_HA_2018,EPI2168823|150524133696_NP_2018,EPI2168829|150524133696_NA_2018,EPI2168825|150524133696_MP_2018,EPI2168824|150524133696_NS_2018,,,A/Michigan/UOM150524133696/2018,A / H3N2
EPI_ISL_14925588,EPI2168836|150524133698_PB2_2018,EPI2168837|150524133698_PB1_2018,EPI2168835|150524133698_PA_2018,EPI2168839|150524133698_HA_2018,EPI2168832|150524133698_NP_2018,EPI2168838|150524133698_NA_2018,EPI2168834|150524133698_MP_2018,EPI2168833|150524133698_NS_2018,,,A/Michigan/UOM150524133698/2018,A / H3N2
EPI_ISL_14925589,EPI2168845|150524133699_PB2_2018,EPI2168846|150524133699_PB1_2018,EPI2168844|150524133699_PA_2018,EPI2168848|150524133699_HA_2018,EPI2168840|150524133699_NP_2018,EPI2168847|150524133699_NA_2018,EPI2168842|150524133699_MP_2018,EPI2168841|150524133699_NS_2018,,,A/Michigan/UOM150524133699/2018,A / H3N2
EPI_ISL_14925590,EPI2168853|150524133838_PB2_2018,EPI2168854|150524133838_PB1_2018,EPI2168852|150524133838_PA_2018,EPI2168856|150524133838_HA_2018,EPI2168849|150524133838_NP_2018,EPI2168855|150524133838_NA_2018,EPI2168851|150524133838_MP_2018,EPI2168850|150524133838_NS_2018,,,A/Michigan/UOM150524133838/2018,A / H3N2
EPI_ISL_14925636,EPI2168861|150524133781_PB2_2018,EPI2168862|150524133781_PB1_2018,EPI2168860|150524133781_PA_2018,EPI2168865|150524133781_HA_2018,EPI2168857|150524133781_NP_2018,EPI2168864|150524133781_NA_2018,EPI2168859|150524133781_MP_2018,EPI2168858|150524133781_NS_2018,,,A/Michigan/UOM150524133781/2018,A / H3N2
EPI_ISL_14925637,EPI2168870|150524133703_PB2_2018,EPI2168871|150524133703_PB1_2018,EPI2168869|150524133703_PA_2018,EPI2168873|150524133703_HA_2018,EPI2168866|150524133703_NP_2018,EPI2168872|150524133703_NA_2018,EPI2168868|150524133703_MP_2018,EPI2168867|150524133703_NS_2018,,,A/Michigan/UOM150524133703/2018,A / H3N2
EPI_ISL_14925638,EPI2168879|150524133839_PB2_2018,EPI2168880|150524133839_PB1_2018,EPI2168878|150524133839_PA_2018,EPI2168882|150524133839_HA_2018,EPI2168874|150524133839_NP_2018,EPI2168881|150524133839_NA_2018,EPI2168877|150524133839_MP_2018,EPI2168876|150524133839_NS_2018,,,A/Michigan/UOM150524133839/2018,A / H3N2
EPI_ISL_14925639,EPI2168887|150524133704_PB2_2018,EPI2168888|150524133704_PB1_2018,EPI2168886|150524133704_PA_2018,EPI2168890|150524133704_HA_2018,EPI2168883|150524133704_NP_2018,EPI2168889|150524133704_NA_2018,EPI2168885|150524133704_MP_2018,EPI2168884|150524133704_NS_2018,,,A/Michigan/UOM150524133704/2018,A / H3N2
EPI_ISL_14925640,EPI2168896|150524133707_PB2_2018,EPI2168897|150524133707_PB1_2018,EPI2168895|150524133707_PA_2018,EPI2168899|150524133707_HA_2018,EPI2168892|150524133707_NP_2018,EPI2168898|150524133707_NA_2018,EPI2168894|150524133707_MP_2018,EPI2168893|150524133707_NS_2018,,,A/Michigan/UOM150524133707/2018,A / H3N2
EPI_ISL_14925641,EPI2168904|150524133708_PB2_2018,EPI2168905|150524133708_PB1_2018,EPI2168903|150524133708_PA_2018,EPI2168908|150524133708_HA_2018,EPI2168900|150524133708_NP_2018,EPI2168906|150524133708_NA_2018,EPI2168902|150524133708_MP_2018,EPI2168901|150524133708_NS_2018,,,A/Michigan/UOM150524133708/2018,A / H3N2
EPI_ISL_14925642,EPI2168913|150524133710_PB2_2018,EPI2168914|150524133710_PB1_2018,EPI2168912|150524133710_PA_2018,EPI2168916|150524133710_HA_2018,EPI2168909|150524133710_NP_2018,EPI2168915|150524133710_NA_2018,EPI2168911|150524133710_MP_2018,EPI2168910|150524133710_NS_2018,,,A/Michigan/UOM150524133710/2018,A / H3N2
EPI_ISL_14925643,EPI2168921|150524133711_PB2_2018,EPI2168923|150524133711_PB1_2018,EPI2168920|150524133711_PA_2018,EPI2168925|150524133711_HA_2018,EPI2168917|150524133711_NP_2018,EPI2168924|150524133711_NA_2018,EPI2168919|150524133711_MP_2018,EPI2168918|150524133711_NS_2018,,,A/Michigan/UOM150524133711/2018,A / H3N2
EPI_ISL_14925644,EPI2168930|150524133713_PB2_2018,EPI2168931|150524133713_PB1_2018,EPI2168929|150524133713_PA_2018,EPI2168933|150524133713_HA_2018,EPI2168926|150524133713_NP_2018,EPI2168932|150524133713_NA_2018,EPI2168928|150524133713_MP_2018,EPI2168927|150524133713_NS_2018,,,A/Michigan/UOM150524133713/2018,A / H3N2
EPI_ISL_14925645,EPI2168938|150524133712_PB2_2018,EPI2168939|150524133712_PB1_2018,EPI2168937|150524133712_PA_2018,EPI2168941|150524133712_HA_2018,EPI2168934|150524133712_NP_2018,EPI2168940|150524133712_NA_2018,EPI2168936|150524133712_MP_2018,EPI2168935|150524133712_NS_2018,,,A/Michigan/UOM150524133712/2018,A / H3N2
EPI_ISL_14925646,EPI2168946|150524133714_PB2_2018,EPI2168947|150524133714_PB1_2018,EPI2168945|150524133714_PA_2018,EPI2168949|150524133714_HA_2018,EPI2168942|150524133714_NP_2018,EPI2168948|150524133714_NA_2018,EPI2168944|150524133714_MP_2018,EPI2168943|150524133714_NS_2018,,,A/Michigan/UOM150524133714/2018,A / H3N2
EPI_ISL_14925647,EPI2168954|150524133715_PB2_2018,EPI2168955|150524133715_PB1_2018,EPI2168953|150524133715_PA_2018,EPI2168957|150524133715_HA_2018,EPI2168950|150524133715_NP_2018,EPI2168956|150524133715_NA_2018,EPI2168952|150524133715_MP_2018,EPI2168951|150524133715_NS_2018,,,A/Michigan/UOM150524133715/2018,A / H3N2
EPI_ISL_14925648,EPI2168962|150524133716_PB2_2018,EPI2168963|150524133716_PB1_2018,EPI2168961|150524133716_PA_2018,EPI2168965|150524133716_HA_2018,EPI2168958|150524133716_NP_2018,EPI2168964|150524133716_NA_2018,EPI2168960|150524133716_MP_2018,EPI2168959|150524133716_NS_2018,,,A/Michigan/UOM150524133716/2018,A / H3N2
EPI_ISL_14925649,EPI2168970|150524133717_PB2_2018,EPI2168971|150524133717_PB1_2018,EPI2168969|150524133717_PA_2018,EPI2168973|150524133717_HA_2018,EPI2168966|150524133717_NP_2018,EPI2168972|150524133717_NA_2018,EPI2168968|150524133717_MP_2018,EPI2168967|150524133717_NS_2018,,,A/Michigan/UOM150524133717/2018,A / H3N2
EPI_ISL_14925650,EPI2168978|150524133718_PB2_2018,EPI2168979|150524133718_PB1_2018,EPI2168977|150524133718_PA_2018,EPI2168981|150524133718_HA_2018,EPI2168974|150524133718_NP_2018,EPI2168980|150524133718_NA_2018,EPI2168976|150524133718_MP_2018,EPI2168975|150524133718_NS_2018,,,A/Michigan/UOM150524133718/2018,A / H3N2
EPI_ISL_14925651,EPI2168986|150524133719_PB2_2018,EPI2168987|150524133719_PB1_2018,EPI2168985|150524133719_PA_2018,EPI2168989|150524133719_HA_2018,EPI2168982|150524133719_NP_2018,EPI2168988|150524133719_NA_2018,EPI2168984|150524133719_MP_2018,EPI2168983|150524133719_NS_2018,,,A/Michigan/UOM150524133719/2018,A / H3N2
EPI_ISL_14925652,EPI2168994|150524133720_PB2_2018,EPI2168995|150524133720_PB1_2018,EPI2168993|150524133720_PA_2018,EPI2168997|150524133720_HA_2018,EPI2168990|150524133720_NP_2018,EPI2168996|150524133720_NA_2018,EPI2168992|150524133720_MP_2018,EPI2168991|150524133720_NS_2018,,,A/Michigan/UOM150524133720/2018,A / H3N2
EPI_ISL_14925653,EPI2169002|150524133721_PB2_2018,EPI2169003|150524133721_PB1_2018,EPI2169001|150524133721_PA_2018,EPI2169005|150524133721_HA_2018,EPI2168998|150524133721_NP_2018,EPI2169004|150524133721_NA_2018,EPI2169000|150524133721_MP_2018,EPI2168999|150524133721_NS_2018,,,A/Michigan/UOM150524133721/2018,A / H3N2
EPI_ISL_14925654,EPI2169010|150524133724_PB2_2018,EPI2169011|150524133724_PB1_2018,EPI2169009|150524133724_PA_2018,EPI2169013|150524133724_HA_2018,EPI2169006|150524133724_NP_2018,EPI2169012|150524133724_NA_2018,EPI2169008|150524133724_MP_2018,EPI2169007|150524133724_NS_2018,,,A/Michigan/UOM150524133724/2018,A / H3N2
EPI_ISL_14925655,EPI2169018|150524133725_PB2_2018,EPI2169019|150524133725_PB1_2018,EPI2169017|150524133725_PA_2018,EPI2169021|150524133725_HA_2018,EPI2169014|150524133725_NP_2018,EPI2169020|150524133725_NA_2018,EPI2169016|150524133725_MP_2018,EPI2169015|150524133725_NS_2018,,,A/Michigan/UOM150524133725/2018,A / H3N2
EPI_ISL_14925656,EPI2169026|150524133726_PB2_2018,EPI2169027|150524133726_PB1_2018,EPI2169025|150524133726_PA_2018,EPI2169029|150524133726_HA_2018,EPI2169022|150524133726_NP_2018,EPI2169028|150524133726_NA_2018,EPI2169024|150524133726_MP_2018,EPI2169023|150524133726_NS_2018,,,A/Michigan/UOM150524133726/2018,A / H3N2
EPI_ISL_14925657,EPI2169034|150524133727_PB2_2018,EPI2169035|150524133727_PB1_2018,EPI2169033|150524133727_PA_2018,EPI2169037|150524133727_HA_2018,EPI2169030|150524133727_NP_2018,EPI2169036|150524133727_NA_2018,EPI2169032|150524133727_MP_2018,EPI2169031|150524133727_NS_2018,,,A/Michigan/UOM150524133727/2018,A / H3N2
EPI_ISL_14925658,EPI2169042|150524133728_PB2_2018,EPI2169043|150524133728_PB1_2018,EPI2169041|150524133728_PA_2018,EPI2169045|150524133728_HA_2018,EPI2169038|150524133728_NP_2018,EPI2169044|150524133728_NA_2018,EPI2169040|150524133728_MP_2018,EPI2169039|150524133728_NS_2018,,,A/Michigan/UOM150524133728/2018,A / H3N2
EPI_ISL_14925659,EPI2169050|150524133730_PB2_2018,EPI2169051|150524133730_PB1_2018,EPI2169049|150524133730_PA_2018,EPI2169053|150524133730_HA_2018,EPI2169046|150524133730_NP_2018,EPI2169052|150524133730_NA_2018,EPI2169048|150524133730_MP_2018,EPI2169047|150524133730_NS_2018,,,A/Michigan/UOM150524133730/2018,A / H3N2
EPI_ISL_14925660,EPI2169058|150524133731_PB2_2018,EPI2169059|150524133731_PB1_2018,EPI2169057|150524133731_PA_2018,EPI2169061|150524133731_HA_2018,EPI2169054|150524133731_NP_2018,EPI2169060|150524133731_NA_2018,EPI2169056|150524133731_MP_2018,EPI2169055|150524133731_NS_2018,,,A/Michigan/UOM150524133731/2018,A / H3N2
EPI_ISL_14925661,EPI2169066|150524133732_PB2_2018,EPI2169067|150524133732_PB1_2018,EPI2169065|150524133732_PA_2018,EPI2169069|150524133732_HA_2018,EPI2169062|150524133732_NP_2018,EPI2169068|150524133732_NA_2018,EPI2169064|150524133732_MP_2018,EPI2169063|150524133732_NS_2018,,,A/Michigan/UOM150524133732/2018,A / H3N2
EPI_ISL_14925662,EPI2169074|150524133735_PB2_2018,EPI2169075|150524133735_PB1_2018,EPI2169073|150524133735_PA_2018,EPI2169077|150524133735_HA_2018,EPI2169070|150524133735_NP_2018,EPI2169076|150524133735_NA_2018,EPI2169072|150524133735_MP_2018,EPI2169071|150524133735_NS_2018,,,A/Michigan/UOM150524133735/2018,A / H3N2
EPI_ISL_14925663,EPI2169082|150524133842_PB2_2018,EPI2169083|150524133842_PB1_2018,EPI2169081|150524133842_PA_2018,EPI2169085|150524133842_HA_2018,EPI2169078|150524133842_NP_2018,EPI2169084|150524133842_NA_2018,EPI2169080|150524133842_MP_2018,EPI2169079|150524133842_NS_2018,,,A/Michigan/UOM150524133842/2018,A / H3N2
EPI_ISL_14925664,EPI2169090|150524133736_PB2_2018,EPI2169091|150524133736_PB1_2018,EPI2169089|150524133736_PA_2018,EPI2169093|150524133736_HA_2018,EPI2169086|150524133736_NP_2018,EPI2169092|150524133736_NA_2018,EPI2169088|150524133736_MP_2018,EPI2169087|150524133736_NS_2018,,,A/Michigan/UOM150524133736/2018,A / H3N2
EPI_ISL_14925665,EPI2169098|150524133737_PB2_2018,EPI2169099|150524133737_PB1_2018,EPI2169097|150524133737_PA_2018,EPI2169101|150524133737_HA_2018,EPI2169094|150524133737_NP_2018,EPI2169100|150524133737_NA_2018,EPI2169096|150524133737_MP_2018,EPI2169095|150524133737_NS_2018,,,A/Michigan/UOM150524133737/2018,A / H3N2
EPI_ISL_14925666,EPI2169106|150524133738_PB2_2018,EPI2169107|150524133738_PB1_2018,EPI2169105|150524133738_PA_2018,EPI2169109|150524133738_HA_2018,EPI2169102|150524133738_NP_2018,EPI2169108|150524133738_NA_2018,EPI2169104|150524133738_MP_2018,EPI2169103|150524133738_NS_2018,,,A/Michigan/UOM150524133738/2018,A / H3N2
EPI_ISL_14925667,EPI2169114|150524133739_PB2_2018,EPI2169115|150524133739_PB1_2018,EPI2169113|150524133739_PA_2018,EPI2169117|150524133739_HA_2018,EPI2169110|150524133739_NP_2018,EPI2169116|150524133739_NA_2018,EPI2169112|150524133739_MP_2018,EPI2169111|150524133739_NS_2018,,,A/Michigan/UOM150524133739/2018,A / H3N2
EPI_ISL_14925668,EPI2169122|150524133740_PB2_2018,EPI2169123|150524133740_PB1_2018,EPI2169121|150524133740_PA_2018,EPI2169125|150524133740_HA_2018,EPI2169118|150524133740_NP_2018,EPI2169124|150524133740_NA_2018,EPI2169120|150524133740_MP_2018,EPI2169119|150524133740_NS_2018,,,A/Michigan/UOM150524133740/2018,A / H3N2
EPI_ISL_14925669,EPI2169130|150524133741_PB2_2018,EPI2169131|150524133741_PB1_2018,EPI2169129|150524133741_PA_2018,EPI2169133|150524133741_HA_2018,EPI2169126|150524133741_NP_2018,EPI2169132|150524133741_NA_2018,EPI2169128|150524133741_MP_2018,EPI2169127|150524133741_NS_2018,,,A/Michigan/UOM150524133741/2018,A / H3N2
EPI_ISL_14925670,EPI2169138|150524133742_PB2_2018,EPI2169139|150524133742_PB1_2018,EPI2169137|150524133742_PA_2018,EPI2169141|150524133742_HA_2018,EPI2169134|150524133742_NP_2018,EPI2169140|150524133742_NA_2018,EPI2169136|150524133742_MP_2018,EPI2169135|150524133742_NS_2018,,,A/Michigan/UOM150524133742/2018,A / H3N2
EPI_ISL_14925671,EPI2169146|150524133744_PB2_2018,EPI2169147|150524133744_PB1_2018,EPI2169145|150524133744_PA_2018,EPI2169149|150524133744_HA_2018,EPI2169142|150524133744_NP_2018,EPI2169148|150524133744_NA_2018,EPI2169144|150524133744_MP_2018,EPI2169143|150524133744_NS_2018,,,A/Michigan/UOM150524133744/2018,A / H3N2
EPI_ISL_14925672,EPI2169154|150524133745_PB2_2018,EPI2169155|150524133745_PB1_2018,EPI2169153|150524133745_PA_2018,EPI2169157|150524133745_HA_2018,EPI2169150|150524133745_NP_2018,EPI2169156|150524133745_NA_2018,EPI2169152|150524133745_MP_2018,EPI2169151|150524133745_NS_2018,,,A/Michigan/UOM150524133745/2018,A / H3N2
EPI_ISL_14925673,EPI2169162|150524133843_PB2_2018,EPI2169163|150524133843_PB1_2018,EPI2169161|150524133843_PA_2018,EPI2169165|150524133843_HA_2018,EPI2169158|150524133843_NP_2018,EPI2169164|150524133843_NA_2018,EPI2169160|150524133843_MP_2018,EPI2169159|150524133843_NS_2018,,,A/Michigan/UOM150524133843/2018,A / H3N2
EPI_ISL_14925677,EPI2169170|150524133746_PB2_2018,EPI2169171|150524133746_PB1_2018,EPI2169169|150524133746_PA_2018,EPI2169173|150524133746_HA_2018,EPI2169166|150524133746_NP_2018,EPI2169172|150524133746_NA_2018,EPI2169168|150524133746_MP_2018,EPI2169167|150524133746_NS_2018,,,A/Michigan/UOM150524133746/2018,A / H3N2
EPI_ISL_14925678,EPI2169178|150524133747_PB2_2018,EPI2169179|150524133747_PB1_2018,EPI2169177|150524133747_PA_2018,EPI2169181|150524133747_HA_2018,EPI2169174|150524133747_NP_2018,EPI2169180|150524133747_NA_2018,EPI2169176|150524133747_MP_2018,EPI2169175|150524133747_NS_2018,,,A/Michigan/UOM150524133747/2018,A / H3N2
EPI_ISL_14925679,EPI2169186|150524133844_PB2_2018,EPI2169187|150524133844_PB1_2018,EPI2169185|150524133844_PA_2018,EPI2169189|150524133844_HA_2018,EPI2169182|150524133844_NP_2018,EPI2169188|150524133844_NA_2018,EPI2169184|150524133844_MP_2018,EPI2169183|150524133844_NS_2018,,,A/Michigan/UOM150524133844/2018,A / H3N2
EPI_ISL_14925680,EPI2169194|150524133749_PB2_2018,EPI2169195|150524133749_PB1_2018,EPI2169193|150524133749_PA_2018,EPI2169197|150524133749_HA_2018,EPI2169190|150524133749_NP_2018,EPI2169196|150524133749_NA_2018,EPI2169192|150524133749_MP_2018,EPI2169191|150524133749_NS_2018,,,A/Michigan/UOM150524133749/2018,A / H3N2
EPI_ISL_14925681,EPI2169202|150524133750_PB2_2018,EPI2169203|150524133750_PB1_2018,EPI2169201|150524133750_PA_2018,EPI2169205|150524133750_HA_2018,EPI2169198|150524133750_NP_2018,EPI2169204|150524133750_NA_2018,EPI2169200|150524133750_MP_2018,EPI2169199|150524133750_NS_2018,,,A/Michigan/UOM150524133750/2018,A / H3N2
EPI_ISL_14925682,EPI2169210|150524133751_PB2_2018,EPI2169211|150524133751_PB1_2018,EPI2169209|150524133751_PA_2018,EPI2169213|150524133751_HA_2018,EPI2169206|150524133751_NP_2018,EPI2169212|150524133751_NA_2018,EPI2169208|150524133751_MP_2018,EPI2169207|150524133751_NS_2018,,,A/Michigan/UOM150524133751/2018,A / H3N2
EPI_ISL_14925683,EPI2169218|150524133752_PB2_2018,EPI2169219|150524133752_PB1_2018,EPI2169217|150524133752_PA_2018,EPI2169221|150524133752_HA_2018,EPI2169214|150524133752_NP_2018,EPI2169220|150524133752_NA_2018,EPI2169216|150524133752_MP_2018,EPI2169215|150524133752_NS_2018,,,A/Michigan/UOM150524133752/2018,A / H3N2
EPI_ISL_14925684,EPI2169226|150524133753_PB2_2018,EPI2169227|150524133753_PB1_2018,EPI2169225|150524133753_PA_2018,EPI2169229|150524133753_HA_2018,EPI2169222|150524133753_NP_2018,EPI2169228|150524133753_NA_2018,EPI2169224|150524133753_MP_2018,EPI2169223|150524133753_NS_2018,,,A/Michigan/UOM150524133753/2018,A / H3N2
