Isolate_Id,PB2 Segment_Id,PB1 Segment_Id,PA Segment_Id,HA Segment_Id,NP Segment_Id,NA Segment_Id,MP Segment_Id,NS Segment_Id,HE Segment_Id,P3 Segment_Id,Isolate_Name,Subtype
EPI_ISL_14925685,EPI2169234|150524133754_PB2_2018,EPI2169235|150524133754_PB1_2018,EPI2169233|150524133754_PA_2018,EPI2169237|150524133754_HA_2018,EPI2169230|150524133754_NP_2018,EPI2169236|150524133754_NA_2018,EPI2169232|150524133754_MP_2018,EPI2169231|150524133754_NS_2018,,,A/Michigan/UOM150524133754/2018,A / H3N2
EPI_ISL_14925686,EPI2169242|150524133756_PB2_2018,EPI2169243|150524133756_PB1_2018,EPI2169241|150524133756_PA_2018,EPI2169245|150524133756_HA_2018,EPI2169238|150524133756_NP_2018,EPI2169244|150524133756_NA_2018,EPI2169240|150524133756_MP_2018,EPI2169239|150524133756_NS_2018,,,A/Michigan/UOM150524133756/2018,A / H3N2
EPI_ISL_14925687,EPI2169250|150524133759_PB2_2018,EPI2169251|150524133759_PB1_2018,EPI2169249|150524133759_PA_2018,EPI2169253|150524133759_HA_2018,EPI2169246|150524133759_NP_2018,EPI2169252|150524133759_NA_2018,EPI2169248|150524133759_MP_2018,EPI2169247|150524133759_NS_2018,,,A/Michigan/UOM150524133759/2018,A / H3N2
EPI_ISL_14925688,EPI2169258|150524133760_PB2_2018,EPI2169259|150524133760_PB1_2018,EPI2169257|150524133760_PA_2018,EPI2169261|150524133760_HA_2018,EPI2169254|150524133760_NP_2018,EPI2169260|150524133760_NA_2018,EPI2169256|150524133760_MP_2018,EPI2169255|150524133760_NS_2018,,,A/Michigan/UOM150524133760/2018,A / H3N2
EPI_ISL_14925689,EPI2169266|150524133845_PB2_2018,EPI2169267|150524133845_PB1_2018,EPI2169265|150524133845_PA_2018,EPI2169269|150524133845_HA_2018,EPI2169262|150524133845_NP_2018,EPI2169268|150524133845_NA_2018,EPI2169264|150524133845_MP_2018,EPI2169263|150524133845_NS_2018,,,A/Michigan/UOM150524133845/2018,A / H3N2
EPI_ISL_14925690,EPI2169274|150524133763_PB2_2018,EPI2169275|150524133763_PB1_2018,EPI2169273|150524133763_PA_2018,EPI2169277|150524133763_HA_2018,EPI2169270|150524133763_NP_2018,EPI2169276|150524133763_NA_2018,EPI2169272|150524133763_MP_2018,EPI2169271|150524133763_NS_2018,,,A/Michigan/UOM150524133763/2018,A / H3N2
EPI_ISL_14925691,EPI2169282|150524133764_PB2_2018,EPI2169283|150524133764_PB1_2018,EPI2169281|150524133764_PA_2018,EPI2169285|150524133764_HA_2018,EPI2169278|150524133764_NP_2018,EPI2169284|150524133764_NA_2018,EPI2169280|150524133764_MP_2018,EPI2169279|150524133764_NS_2018,,,A/Michigan/UOM150524133764/2018,A / H3N2
EPI_ISL_14925692,EPI2169290|150524133765_PB2_2018,EPI2169291|150524133765_PB1_2018,EPI2169289|150524133765_PA_2018,EPI2169293|150524133765_HA_2018,EPI2169286|150524133765_NP_2018,EPI2169292|150524133765_NA_2018,EPI2169288|150524133765_MP_2018,EPI2169287|150524133765_NS_2018,,,A/Michigan/UOM150524133765/2018,A / H3N2
EPI_ISL_14925693,EPI2169298|150524133766_PB2_2018,EPI2169299|150524133766_PB1_2018,EPI2169297|150524133766_PA_2018,EPI2169301|150524133766_HA_2018,EPI2169294|150524133766_NP_2018,EPI2169300|150524133766_NA_2018,EPI2169296|150524133766_MP_2018,EPI2169295|150524133766_NS_2018,,,A/Michigan/UOM150524133766/2018,A / H3N2
EPI_ISL_14925694,EPI2169306|150524133769_PB2_2018,EPI2169307|150524133769_PB1_2018,EPI2169305|150524133769_PA_2018,EPI2169309|150524133769_HA_2018,EPI2169302|150524133769_NP_2018,EPI2169308|150524133769_NA_2018,EPI2169304|150524133769_MP_2018,EPI2169303|150524133769_NS_2018,,,A/Michigan/UOM150524133769/2018,A / H3N2
EPI_ISL_14925695,EPI2169314|150524133770_PB2_2018,EPI2169315|150524133770_PB1_2018,EPI2169313|150524133770_PA_2018,EPI2169317|150524133770_HA_2018,EPI2169310|150524133770_NP_2018,EPI2169316|150524133770_NA_2018,EPI2169312|150524133770_MP_2018,EPI2169311|150524133770_NS_2018,,,A/Michigan/UOM150524133770/2018,A / H3N2
EPI_ISL_14925696,EPI2169322|150524133771_PB2_2018,EPI2169323|150524133771_PB1_2018,EPI2169321|150524133771_PA_2018,EPI2169325|150524133771_HA_2018,EPI2169318|150524133771_NP_2018,EPI2169324|150524133771_NA_2018,EPI2169320|150524133771_MP_2018,EPI2169319|150524133771_NS_2018,,,A/Michigan/UOM150524133771/2018,A / H3N2
EPI_ISL_14925697,EPI2169330|150524133773_PB2_2018,EPI2169331|150524133773_PB1_2018,EPI2169329|150524133773_PA_2018,EPI2169333|150524133773_HA_2018,EPI2169326|150524133773_NP_2018,EPI2169332|150524133773_NA_2018,EPI2169328|150524133773_MP_2018,EPI2169327|150524133773_NS_2018,,,A/Michigan/UOM150524133773/2018,A / H3N2
EPI_ISL_14925698,EPI2169338|150524133772_PB2_2018,EPI2169339|150524133772_PB1_2018,EPI2169337|150524133772_PA_2018,EPI2169341|150524133772_HA_2018,EPI2169334|150524133772_NP_2018,EPI2169340|150524133772_NA_2018,EPI2169336|150524133772_MP_2018,EPI2169335|150524133772_NS_2018,,,A/Michigan/UOM150524133772/2018,A / H3N2
EPI_ISL_14925699,EPI2169346|150524133774_PB2_2018,EPI2169347|150524133774_PB1_2018,EPI2169345|150524133774_PA_2018,EPI2169349|150524133774_HA_2018,EPI2169342|150524133774_NP_2018,EPI2169348|150524133774_NA_2018,EPI2169344|150524133774_MP_2018,EPI2169343|150524133774_NS_2018,,,A/Michigan/UOM150524133774/2018,A / H3N2
EPI_ISL_14925700,EPI2169354|150524133776_PB2_2018,EPI2169355|150524133776_PB1_2018,EPI2169353|150524133776_PA_2018,EPI2169357|150524133776_HA_2018,EPI2169350|150524133776_NP_2018,EPI2169356|150524133776_NA_2018,EPI2169352|150524133776_MP_2018,EPI2169351|150524133776_NS_2018,,,A/Michigan/UOM150524133776/2018,A / H3N2
EPI_ISL_14925701,EPI2169362|150524133777_PB2_2018,EPI2169363|150524133777_PB1_2018,EPI2169361|150524133777_PA_2018,EPI2169365|150524133777_HA_2018,EPI2169358|150524133777_NP_2018,EPI2169364|150524133777_NA_2018,EPI2169360|150524133777_MP_2018,EPI2169359|150524133777_NS_2018,,,A/Michigan/UOM150524133777/2018,A / H3N2
EPI_ISL_14925702,EPI2169370|150524133778_PB2_2018,EPI2169371|150524133778_PB1_2018,EPI2169369|150524133778_PA_2018,EPI2169373|150524133778_HA_2018,EPI2169366|150524133778_NP_2018,EPI2169372|150524133778_NA_2018,EPI2169368|150524133778_MP_2018,EPI2169367|150524133778_NS_2018,,,A/Michigan/UOM150524133778/2018,A / H3N2
EPI_ISL_14925703,EPI2169378|150524133779_PB2_2018,EPI2169379|150524133779_PB1_2018,EPI2169377|150524133779_PA_2018,EPI2169381|150524133779_HA_2018,EPI2169374|150524133779_NP_2018,EPI2169380|150524133779_NA_2018,EPI2169376|150524133779_MP_2018,EPI2169375|150524133779_NS_2018,,,A/Michigan/UOM150524133779/2018,A / H3N2
EPI_ISL_14925704,EPI2169386|150524133780_PB2_2018,EPI2169387|150524133780_PB1_2018,EPI2169385|150524133780_PA_2018,EPI2169389|150524133780_HA_2018,EPI2169382|150524133780_NP_2018,EPI2169388|150524133780_NA_2018,EPI2169384|150524133780_MP_2018,EPI2169383|150524133780_NS_2018,,,A/Michigan/UOM150524133780/2018,A / H3N2
EPI_ISL_14925705,EPI2169394|150524133846_PB2_2018,EPI2169395|150524133846_PB1_2018,EPI2169393|150524133846_PA_2018,EPI2169397|150524133846_HA_2018,EPI2169390|150524133846_NP_2018,EPI2169396|150524133846_NA_2018,EPI2169392|150524133846_MP_2018,EPI2169391|150524133846_NS_2018,,,A/Michigan/UOM150524133846/2018,A / H3N2
EPI_ISL_14925706,EPI2169402|150524133862_PB2_2018,EPI2169403|150524133862_PB1_2018,EPI2169401|150524133862_PA_2018,EPI2169405|150524133862_HA_2018,EPI2169398|150524133862_NP_2018,EPI2169404|150524133862_NA_2018,EPI2169400|150524133862_MP_2018,EPI2169399|150524133862_NS_2018,,,A/Michigan/UOM150524133862/2018,A / H3N2
EPI_ISL_14925707,EPI2169410|150524133863_PB2_2018,EPI2169411|150524133863_PB1_2018,EPI2169409|150524133863_PA_2018,EPI2169413|150524133863_HA_2018,EPI2169406|150524133863_NP_2018,EPI2169412|150524133863_NA_2018,EPI2169408|150524133863_MP_2018,EPI2169407|150524133863_NS_2018,,,A/Michigan/UOM150524133863/2018,A / H3N2
EPI_ISL_14925708,EPI2169418|150524133785_PB2_2018,EPI2169419|150524133785_PB1_2018,EPI2169417|150524133785_PA_2018,EPI2169421|150524133785_HA_2018,EPI2169414|150524133785_NP_2018,EPI2169420|150524133785_NA_2018,EPI2169416|150524133785_MP_2018,EPI2169415|150524133785_NS_2018,,,A/Michigan/UOM150524133785/2018,A / H3N2
EPI_ISL_14925709,EPI2169426|150524133847_PB2_2018,EPI2169427|150524133847_PB1_2018,EPI2169425|150524133847_PA_2018,EPI2169429|150524133847_HA_2018,EPI2169422|150524133847_NP_2018,EPI2169428|150524133847_NA_2018,EPI2169424|150524133847_MP_2018,EPI2169423|150524133847_NS_2018,,,A/Michigan/UOM150524133847/2018,A / H3N2
EPI_ISL_14925710,EPI2169434|150524133848_PB2_2018,EPI2169435|150524133848_PB1_2018,EPI2169433|150524133848_PA_2018,EPI2169437|150524133848_HA_2018,EPI2169430|150524133848_NP_2018,EPI2169436|150524133848_NA_2018,EPI2169432|150524133848_MP_2018,EPI2169431|150524133848_NS_2018,,,A/Michigan/UOM150524133848/2018,A / H3N2
EPI_ISL_14925711,EPI2169442|150524133788_PB2_2018,EPI2169443|150524133788_PB1_2018,EPI2169441|150524133788_PA_2018,EPI2169445|150524133788_HA_2018,EPI2169438|150524133788_NP_2018,EPI2169444|150524133788_NA_2018,EPI2169440|150524133788_MP_2018,EPI2169439|150524133788_NS_2018,,,A/Michigan/UOM150524133788/2018,A / H3N2
EPI_ISL_14925712,EPI2169450|150524133849_PB2_2018,EPI2169451|150524133849_PB1_2018,EPI2169449|150524133849_PA_2018,EPI2169453|150524133849_HA_2018,EPI2169446|150524133849_NP_2018,EPI2169452|150524133849_NA_2018,EPI2169448|150524133849_MP_2018,EPI2169447|150524133849_NS_2018,,,A/Michigan/UOM150524133849/2018,A / H3N2
EPI_ISL_14925713,EPI2169458|150524133789_PB2_2018,EPI2169459|150524133789_PB1_2018,EPI2169457|150524133789_PA_2018,EPI2169461|150524133789_HA_2018,EPI2169454|150524133789_NP_2018,EPI2169460|150524133789_NA_2018,EPI2169456|150524133789_MP_2018,EPI2169455|150524133789_NS_2018,,,A/Michigan/UOM150524133789/2018,A / H3N2
EPI_ISL_14925714,EPI2169466|150524133790_PB2_2018,EPI2169467|150524133790_PB1_2018,EPI2169465|150524133790_PA_2018,EPI2169469|150524133790_HA_2018,EPI2169462|150524133790_NP_2018,EPI2169468|150524133790_NA_2018,EPI2169464|150524133790_MP_2018,EPI2169463|150524133790_NS_2018,,,A/Michigan/UOM150524133790/2018,A / H3N2
EPI_ISL_14925715,EPI2169474|150524133791_PB2_2018,EPI2169475|150524133791_PB1_2018,EPI2169473|150524133791_PA_2018,EPI2169477|150524133791_HA_2018,EPI2169470|150524133791_NP_2018,EPI2169476|150524133791_NA_2018,EPI2169472|150524133791_MP_2018,EPI2169471|150524133791_NS_2018,,,A/Michigan/UOM150524133791/2018,A / H3N2
EPI_ISL_14925716,EPI2169482|150524133850_PB2_2018,EPI2169483|150524133850_PB1_2018,EPI2169481|150524133850_PA_2018,EPI2169485|150524133850_HA_2018,EPI2169478|150524133850_NP_2018,EPI2169484|150524133850_NA_2018,EPI2169480|150524133850_MP_2018,EPI2169479|150524133850_NS_2018,,,A/Michigan/UOM150524133850/2018,A / H3N2
EPI_ISL_14925717,EPI2169490|150524133792_PB2_2018,EPI2169491|150524133792_PB1_2018,EPI2169489|150524133792_PA_2018,EPI2169493|150524133792_HA_2018,EPI2169486|150524133792_NP_2018,EPI2169492|150524133792_NA_2018,EPI2169488|150524133792_MP_2018,EPI2169487|150524133792_NS_2018,,,A/Michigan/UOM150524133792/2018,A / H3N2
EPI_ISL_14925718,EPI2169498|150524133794_PB2_2018,EPI2169499|150524133794_PB1_2018,EPI2169497|150524133794_PA_2018,EPI2169501|150524133794_HA_2018,EPI2169494|150524133794_NP_2018,EPI2169500|150524133794_NA_2018,EPI2169496|150524133794_MP_2018,EPI2169495|150524133794_NS_2018,,,A/Michigan/UOM150524133794/2018,A / H3N2
EPI_ISL_14925719,EPI2169506|150524133796_PB2_2018,EPI2169507|150524133796_PB1_2018,EPI2169505|150524133796_PA_2018,EPI2169509|150524133796_HA_2018,EPI2169502|150524133796_NP_2018,EPI2169508|150524133796_NA_2018,EPI2169504|150524133796_MP_2018,EPI2169503|150524133796_NS_2018,,,A/Michigan/UOM150524133796/2018,A / H3N2
EPI_ISL_14925720,EPI2169514|150524133800_PB2_2018,EPI2169515|150524133800_PB1_2018,EPI2169513|150524133800_PA_2018,EPI2169517|150524133800_HA_2018,EPI2169510|150524133800_NP_2018,EPI2169516|150524133800_NA_2018,EPI2169512|150524133800_MP_2018,EPI2169511|150524133800_NS_2018,,,A/Michigan/UOM150524133800/2018,A / H3N2
EPI_ISL_14925721,EPI2169522|150524133799_PB2_2018,EPI2169523|150524133799_PB1_2018,EPI2169521|150524133799_PA_2018,EPI2169525|150524133799_HA_2018,EPI2169518|150524133799_NP_2018,EPI2169524|150524133799_NA_2018,EPI2169520|150524133799_MP_2018,EPI2169519|150524133799_NS_2018,,,A/Michigan/UOM150524133799/2018,A / H3N2
EPI_ISL_14925722,EPI2169530|150524133852_PB2_2018,EPI2169531|150524133852_PB1_2018,EPI2169529|150524133852_PA_2018,EPI2169533|150524133852_HA_2018,EPI2169526|150524133852_NP_2018,EPI2169532|150524133852_NA_2018,EPI2169528|150524133852_MP_2018,EPI2169527|150524133852_NS_2018,,,A/Michigan/UOM150524133852/2018,A / H3N2
EPI_ISL_14925723,EPI2169538|150524133802_PB2_2018,EPI2169539|150524133802_PB1_2018,EPI2169537|150524133802_PA_2018,EPI2169541|150524133802_HA_2018,EPI2169534|150524133802_NP_2018,EPI2169540|150524133802_NA_2018,EPI2169536|150524133802_MP_2018,EPI2169535|150524133802_NS_2018,,,A/Michigan/UOM150524133802/2018,A / H3N2
EPI_ISL_14925724,EPI2169546|150524133803_PB2_2018,EPI2169547|150524133803_PB1_2018,EPI2169545|150524133803_PA_2018,EPI2169549|150524133803_HA_2018,EPI2169542|150524133803_NP_2018,EPI2169548|150524133803_NA_2018,EPI2169544|150524133803_MP_2018,EPI2169543|150524133803_NS_2018,,,A/Michigan/UOM150524133803/2018,A / H3N2
EPI_ISL_14925725,EPI2169554|150524133804_PB2_2018,EPI2169555|150524133804_PB1_2018,EPI2169553|150524133804_PA_2018,EPI2169557|150524133804_HA_2018,EPI2169550|150524133804_NP_2018,EPI2169556|150524133804_NA_2018,EPI2169552|150524133804_MP_2018,EPI2169551|150524133804_NS_2018,,,A/Michigan/UOM150524133804/2018,A / H3N2
EPI_ISL_14925726,EPI2169562|150524133805_PB2_2018,EPI2169563|150524133805_PB1_2018,EPI2169561|150524133805_PA_2018,EPI2169565|150524133805_HA_2018,EPI2169558|150524133805_NP_2018,EPI2169564|150524133805_NA_2018,EPI2169560|150524133805_MP_2018,EPI2169559|150524133805_NS_2018,,,A/Michigan/UOM150524133805/2018,A / H3N2
EPI_ISL_14925727,EPI2169570|150524133853_PB2_2018,EPI2169571|150524133853_PB1_2018,EPI2169569|150524133853_PA_2018,EPI2169573|150524133853_HA_2018,EPI2169566|150524133853_NP_2018,EPI2169572|150524133853_NA_2018,EPI2169568|150524133853_MP_2018,EPI2169567|150524133853_NS_2018,,,A/Michigan/UOM150524133853/2018,A / H3N2
EPI_ISL_14925728,EPI2169578|150524133807_PB2_2018,EPI2169579|150524133807_PB1_2018,EPI2169577|150524133807_PA_2018,EPI2169581|150524133807_HA_2018,EPI2169574|150524133807_NP_2018,EPI2169580|150524133807_NA_2018,EPI2169576|150524133807_MP_2018,EPI2169575|150524133807_NS_2018,,,A/Michigan/UOM150524133807/2018,A / H3N2
EPI_ISL_14925729,EPI2169586|150524133810_PB2_2018,EPI2169587|150524133810_PB1_2018,EPI2169585|150524133810_PA_2018,EPI2169589|150524133810_HA_2018,EPI2169582|150524133810_NP_2018,EPI2169588|150524133810_NA_2018,EPI2169584|150524133810_MP_2018,EPI2169583|150524133810_NS_2018,,,A/Michigan/UOM150524133810/2018,A / H3N2
EPI_ISL_14925730,EPI2169594|150524133811_PB2_2018,EPI2169595|150524133811_PB1_2018,EPI2169593|150524133811_PA_2018,EPI2169597|150524133811_HA_2018,EPI2169590|150524133811_NP_2018,EPI2169596|150524133811_NA_2018,EPI2169592|150524133811_MP_2018,EPI2169591|150524133811_NS_2018,,,A/Michigan/UOM150524133811/2018,A / H3N2
EPI_ISL_14925731,EPI2169602|150524133812_PB2_2018,EPI2169603|150524133812_PB1_2018,EPI2169601|150524133812_PA_2018,EPI2169605|150524133812_HA_2018,EPI2169598|150524133812_NP_2018,EPI2169604|150524133812_NA_2018,EPI2169600|150524133812_MP_2018,EPI2169599|150524133812_NS_2018,,,A/Michigan/UOM150524133812/2018,A / H3N2
EPI_ISL_14925732,EPI2169610|150524133813_PB2_2018,EPI2169611|150524133813_PB1_2018,EPI2169609|150524133813_PA_2018,EPI2169613|150524133813_HA_2018,EPI2169606|150524133813_NP_2018,EPI2169612|150524133813_NA_2018,EPI2169608|150524133813_MP_2018,EPI2169607|150524133813_NS_2018,,,A/Michigan/UOM150524133813/2018,A / H3N2
EPI_ISL_14925733,EPI2169618|150524133814_PB2_2018,EPI2169619|150524133814_PB1_2018,EPI2169617|150524133814_PA_2018,EPI2169621|150524133814_HA_2018,EPI2169614|150524133814_NP_2018,EPI2169620|150524133814_NA_2018,EPI2169616|150524133814_MP_2018,EPI2169615|150524133814_NS_2018,,,A/Michigan/UOM150524133814/2018,A / H3N2
EPI_ISL_14925734,EPI2169626|150524133815_PB2_2018,EPI2169627|150524133815_PB1_2018,EPI2169625|150524133815_PA_2018,EPI2169629|150524133815_HA_2018,EPI2169622|150524133815_NP_2018,EPI2169628|150524133815_NA_2018,EPI2169624|150524133815_MP_2018,EPI2169623|150524133815_NS_2018,,,A/Michigan/UOM150524133815/2018,A / H3N2
EPI_ISL_14925735,EPI2169634|150524133817_PB2_2018,EPI2169635|150524133817_PB1_2018,EPI2169633|150524133817_PA_2018,EPI2169637|150524133817_HA_2018,EPI2169630|150524133817_NP_2018,EPI2169636|150524133817_NA_2018,EPI2169632|150524133817_MP_2018,EPI2169631|150524133817_NS_2018,,,A/Michigan/UOM150524133817/2018,A / H3N2
EPI_ISL_14925736,EPI2169642|150524133818_PB2_2018,EPI2169643|150524133818_PB1_2018,EPI2169641|150524133818_PA_2018,EPI2169645|150524133818_HA_2018,EPI2169638|150524133818_NP_2018,EPI2169644|150524133818_NA_2018,EPI2169640|150524133818_MP_2018,EPI2169639|150524133818_NS_2018,,,A/Michigan/UOM150524133818/2018,A / H3N2
EPI_ISL_14925737,EPI2169650|150524133819_PB2_2018,EPI2169651|150524133819_PB1_2018,EPI2169649|150524133819_PA_2018,EPI2169653|150524133819_HA_2018,EPI2169646|150524133819_NP_2018,EPI2169652|150524133819_NA_2018,EPI2169648|150524133819_MP_2018,EPI2169647|150524133819_NS_2018,,,A/Michigan/UOM150524133819/2018,A / H3N2
EPI_ISL_14925738,EPI2169658|150524133820_PB2_2018,EPI2169659|150524133820_PB1_2018,EPI2169657|150524133820_PA_2018,EPI2169661|150524133820_HA_2018,EPI2169654|150524133820_NP_2018,EPI2169660|150524133820_NA_2018,EPI2169656|150524133820_MP_2018,EPI2169655|150524133820_NS_2018,,,A/Michigan/UOM150524133820/2018,A / H3N2
EPI_ISL_14925739,EPI2169666|150524133859_PB2_2018,EPI2169667|150524133859_PB1_2018,EPI2169665|150524133859_PA_2018,EPI2169669|150524133859_HA_2018,EPI2169662|150524133859_NP_2018,EPI2169668|150524133859_NA_2018,EPI2169664|150524133859_MP_2018,EPI2169663|150524133859_NS_2018,,,A/Michigan/UOM150524133859/2018,A / H3N2
EPI_ISL_14925740,EPI2169674|150524133861_PB2_2018,EPI2169675|150524133861_PB1_2018,EPI2169673|150524133861_PA_2018,EPI2169677|150524133861_HA_2018,EPI2169670|150524133861_NP_2018,EPI2169676|150524133861_NA_2018,EPI2169672|150524133861_MP_2018,EPI2169671|150524133861_NS_2018,,,A/Michigan/UOM150524133861/2018,A / H3N2
EPI_ISL_14925741,EPI2169682|150524133821_PB2_2018,EPI2169683|150524133821_PB1_2018,EPI2169681|150524133821_PA_2018,EPI2169685|150524133821_HA_2018,EPI2169678|150524133821_NP_2018,EPI2169684|150524133821_NA_2018,EPI2169680|150524133821_MP_2018,EPI2169679|150524133821_NS_2018,,,A/Michigan/UOM150524133821/2018,A / H3N2
EPI_ISL_14925742,EPI2169690|150524133822_PB2_2018,EPI2169691|150524133822_PB1_2018,EPI2169689|150524133822_PA_2018,EPI2169693|150524133822_HA_2018,EPI2169686|150524133822_NP_2018,EPI2169692|150524133822_NA_2018,EPI2169688|150524133822_MP_2018,EPI2169687|150524133822_NS_2018,,,A/Michigan/UOM150524133822/2018,A / H3N2
EPI_ISL_14925743,EPI2169698|150524133823_PB2_2018,EPI2169699|150524133823_PB1_2018,EPI2169697|150524133823_PA_2018,EPI2169701|150524133823_HA_2018,EPI2169694|150524133823_NP_2018,EPI2169700|150524133823_NA_2018,EPI2169696|150524133823_MP_2018,EPI2169695|150524133823_NS_2018,,,A/Michigan/UOM150524133823/2018,A / H3N2
EPI_ISL_14925744,EPI2169706|150524133824_PB2_2018,EPI2169707|150524133824_PB1_2018,EPI2169705|150524133824_PA_2018,EPI2169709|150524133824_HA_2018,EPI2169702|150524133824_NP_2018,EPI2169708|150524133824_NA_2018,EPI2169704|150524133824_MP_2018,EPI2169703|150524133824_NS_2018,,,A/Michigan/UOM150524133824/2018,A / H3N2
EPI_ISL_14925745,EPI2169714|150524133825_PB2_2018,EPI2169715|150524133825_PB1_2018,EPI2169713|150524133825_PA_2018,EPI2169717|150524133825_HA_2018,EPI2169710|150524133825_NP_2018,EPI2169716|150524133825_NA_2018,EPI2169712|150524133825_MP_2018,EPI2169711|150524133825_NS_2018,,,A/Michigan/UOM150524133825/2018,A / H3N2
